"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","TradeFlowName","TradeFlowCode","2013 in 1000 USD ","2014 in 1000 USD ","2015 in 1000 USD ","2016 in 1000 USD "
"H4","ARG","070410","Argentina","WLD"," World","Export",6,,0.486,0.237,0.63
"H4","ARG","070490","Argentina","WLD"," World","Export",6,40.028,18.03,16.398,36.83
"H4","ARG","070511","Argentina","WLD"," World","Export",6,23.12,50.475,128.771,92.801
"H4","ARG","070519","Argentina","WLD"," World","Export",6,,,9.77,30.442
"H4","ARG","070521","Argentina","WLD"," World","Export",6,200.329,91.262,51.898,63.455
"H4","ARG","070529","Argentina","WLD"," World","Export",6,19.819,7.462,6.605,14.239
"H4","ARG","070610","Argentina","WLD"," World","Export",6,264.366,121.225,160.242,103.48
"H4","ARG","070690","Argentina","WLD"," World","Export",6,1.795,1.86,2.73,5.045
"H4","ARG","070810","Argentina","WLD"," World","Export",6,,,1.544,1.844
"H4","ARG","070820","Argentina","WLD"," World","Export",6,1.66,,1.104,
"H4","ARG","070890","Argentina","WLD"," World","Export",6,,,,0.448
"H4","ARG","070920","Argentina","WLD"," World","Export",6,96.365,109.398,114.212,317.657
"H4","ARG","070930","Argentina","WLD"," World","Export",6,2.8,,,15.859
"H4","ARG","070940","Argentina","WLD"," World","Export",6,,1.65,0.305,3.055
"H4","ARG","070951","Argentina","WLD"," World","Export",6,154.159,98.952,137.39,139.613
"H4","ARG","070959","Argentina","WLD"," World","Export",6,,13.066,,3.864
"H4","ARG","070960","Argentina","WLD"," World","Export",6,7.816,25.894,54.515,238.654
"H4","ARG","070970","Argentina","WLD"," World","Export",6,,,0.3,0.24
"H4","ARG","070991","Argentina","WLD"," World","Export",6,,3.736,4.212,0.16
"H4","ARG","070992","Argentina","WLD"," World","Export",6,180,,,
"H4","ARG","070993","Argentina","WLD"," World","Export",6,5242.334,3967.472,3466.402,3491.643
"H4","ARG","070999","Argentina","WLD"," World","Export",6,1227.831,1316.093,1757.739,1361.244
"H4","ARG","071021","Argentina","WLD"," World","Export",6,189.921,478.563,600.811,279.191
"H4","ARG","071029","Argentina","WLD"," World","Export",6,22.834,29.098,37.215,2.705
"H4","ARG","071030","Argentina","WLD"," World","Export",6,26.846,38.541,35.649,38.955
"H4","ARG","071040","Argentina","WLD"," World","Export",6,48.793,69.913,117.271,155.843
"H4","ARG","071080","Argentina","WLD"," World","Export",6,245.501,79.82,84.575,142.18
"H4","ARG","071090","Argentina","WLD"," World","Export",6,157.143,180.593,438.75,349.507
"H4","ARG","071120","Argentina","WLD"," World","Export",6,3263.565,618.49,4062.875,3855.836
"H4","ARG","071220","Argentina","WLD"," World","Export",6,852.615,100.723,170.917,222.322
"H4","ARG","071231","Argentina","WLD"," World","Export",6,,,,15.62
"H4","ARG","071239","Argentina","WLD"," World","Export",6,237.787,557.981,666.855,407.368
"H4","ARG","071290","Argentina","WLD"," World","Export",6,3340.953,3177.259,2079.471,1675.711
"H4","ARG","071310","Argentina","WLD"," World","Export",6,28920.785,32262.987,26159.518,30222.349
"H4","ARG","071320","Argentina","WLD"," World","Export",6,49825.297,26771.348,38072.906,103021.617
"H4","ARG","071331","Argentina","WLD"," World","Export",6,4767.038,6078.762,19397.825,25078.478
"H4","ARG","071332","Argentina","WLD"," World","Export",6,244.081,86.08,509.288,1957.883
"H4","ARG","071333","Argentina","WLD"," World","Export",6,111156.365,279625.146,252190.574,340819.634
"H4","ARG","071339","Argentina","WLD"," World","Export",6,1943.648,4919.805,1806.702,1101.787
"H4","ARG","071340","Argentina","WLD"," World","Export",6,115.492,82.03,156.549,6889.841
"H4","ARG","071350","Argentina","WLD"," World","Export",6,,,3.045,2.449
"H4","ARG","071360","Argentina","WLD"," World","Export",6,127.65,244.059,,
"H4","ARG","071390","Argentina","WLD"," World","Export",6,13.75,,25.3,449.933
"H4","ARG","071420","Argentina","WLD"," World","Export",6,95.407,143.48,20.201,2.442
"H4","ARG","071490","Argentina","WLD"," World","Export",6,,8.258,,10.199
"H4","ARG","080111","Argentina","WLD"," World","Export",6,1.533,2.59,3.58,1.177
"H4","ARG","080122","Argentina","WLD"," World","Export",6,,2.303,3.187,8.1
"H4","ARG","080131","Argentina","WLD"," World","Export",6,,,82.8,
"H4","ARG","080211","Argentina","WLD"," World","Export",6,,,36.368,979.34
"H4","ARG","080212","Argentina","WLD"," World","Export",6,257.716,13.459,465.324,1119.676
"H4","ARG","080221","Argentina","WLD"," World","Export",6,209.087,116.644,,642.059
"H4","ARG","080222","Argentina","WLD"," World","Export",6,1.98,6.9,7.825,6.9
"H4","ARG","080231","Argentina","WLD"," World","Export",6,7873.113,12613.71,10165.535,3906.951
"H4","ARG","080232","Argentina","WLD"," World","Export",6,1826.39,2542.903,747.995,1930.519
"H4","ARG","080251","Argentina","WLD"," World","Export",6,646.065,548.374,753.956,91.55
"H4","ARG","080252","Argentina","WLD"," World","Export",6,915.204,466.881,1138.383,723.854
"H4","ARG","080290","Argentina","WLD"," World","Export",6,120.609,351.37,316.806,615.157
"H4","ARG","080310","Argentina","WLD"," World","Export",6,,,0.192,
"H4","ARG","080410","Argentina","WLD"," World","Export",6,,,3.72,
"H4","ARG","080420","Argentina","WLD"," World","Export",6,749.726,642.095,353.08,397.417
"H4","ARG","080440","Argentina","WLD"," World","Export",6,486.233,123.176,216.946,237.341
"H4","ARG","080450","Argentina","WLD"," World","Export",6,10.612,4.64,17.866,57.67
"H4","ARG","080510","Argentina","WLD"," World","Export",6,26264.821,25168.987,22267.476,30738.449
"H4","ARG","080520","Argentina","WLD"," World","Export",6,74600.016,73523.655,42614.841,43738.432
"H4","ARG","080540","Argentina","WLD"," World","Export",6,662.988,81.749,57.57,305.724
"H4","ARG","080550","Argentina","WLD"," World","Export",6,234190.233,166015.973,187917.929,289442.114
"H4","ARG","080590","Argentina","WLD"," World","Export",6,4.61,,,
"H4","ARG","080610","Argentina","WLD"," World","Export",6,37390.852,29463.33,20063.716,15059
"H4","ARG","080620","Argentina","WLD"," World","Export",6,65458.47,38129.119,47988.522,53360.952
"H4","ARG","080711","Argentina","WLD"," World","Export",6,19.563,22.5,26.069,1.58
"H4","ARG","080719","Argentina","WLD"," World","Export",6,22.077,35.91,16.034,29.2
"H4","ARG","080810","Argentina","WLD"," World","Export",6,157394.056,137386.516,85782.327,73728.574
"H4","ARG","080830","Argentina","WLD"," World","Export",6,422065.294,379301.843,283125.858,270040.941
"H4","ARG","080840","Argentina","WLD"," World","Export",6,35.975,34.47,32.536,10.404
"H4","ARG","080910","Argentina","WLD"," World","Export",6,,85.933,30.128,12.08
"H4","ARG","080921","Argentina","WLD"," World","Export",6,685.72,1026.878,998.866,954
"H4","ARG","080929","Argentina","WLD"," World","Export",6,4816.948,11537.404,9023.866,17068.101
"H4","ARG","080930","Argentina","WLD"," World","Export",6,6732.537,4305.048,2451.937,1254.267
"H4","ARG","080940","Argentina","WLD"," World","Export",6,5610.805,2467.071,2868.347,944.571
"H4","ARG","081010","Argentina","WLD"," World","Export",6,16.8,,,
"H4","ARG","081020","Argentina","WLD"," World","Export",6,6.715,2.714,2.591,16.599
"H4","ARG","081040","Argentina","WLD"," World","Export",6,86990.178,116580.114,103446.641,124571.005
"H4","ARG","081050","Argentina","WLD"," World","Export",6,153.944,774.647,323.525,315.678
"H4","ARG","081070","Argentina","WLD"," World","Export",6,0.9,,11.4,26.938
"H4","ARG","081090","Argentina","WLD"," World","Export",6,373.4,355.781,676.464,856.295
"H4","ARG","081110","Argentina","WLD"," World","Export",6,7959.56,10698.617,7403.555,5581.132
"H4","ARG","081120","Argentina","WLD"," World","Export",6,,234.215,157.14,236.983
"H4","ARG","081190","Argentina","WLD"," World","Export",6,9312.235,8765.371,7005.701,6961.924
"H4","ARG","081210","Argentina","WLD"," World","Export",6,284.128,40.95,,22.75
"H4","ARG","081310","Argentina","WLD"," World","Export",6,348.663,80.333,302.773,190.077
"H4","ARG","081320","Argentina","WLD"," World","Export",6,82333.778,42704.94,63187.6,57617.694
"H4","ARG","081330","Argentina","WLD"," World","Export",6,7054.63,6820.892,6464.152,6681.615
"H4","ARG","081340","Argentina","WLD"," World","Export",6,4403.563,2254.922,2532.099,2536.758
"H4","ARG","081350","Argentina","WLD"," World","Export",6,29.964,109.044,17.804,25.287
"H4","ARG","081400","Argentina","WLD"," World","Export",6,8.595,,,
"H4","ARG","090111","Argentina","WLD"," World","Export",6,,,2.433,7.707
"H4","ARG","090112","Argentina","WLD"," World","Export",6,,,2.958,4.256
"H4","ARG","090121","Argentina","WLD"," World","Export",6,1586.771,1364.409,1486.476,1165.907
"H4","ARG","090122","Argentina","WLD"," World","Export",6,27.986,29.071,17.817,15.359
"H4","ARG","090210","Argentina","WLD"," World","Export",6,191.537,186.484,165.56,125.778
"H4","ARG","090220","Argentina","WLD"," World","Export",6,3959.235,4450.513,3952.476,2556.199
"H4","ARG","090230","Argentina","WLD"," World","Export",6,592.786,1020.686,732.923,640.465
"H4","ARG","090240","Argentina","WLD"," World","Export",6,112126.485,109418.543,95112.345,93709.301
"H4","ARG","090300","Argentina","WLD"," World","Export",6,83102.961,99115.06,108995.573,72010.313
"H4","ARG","090411","Argentina","WLD"," World","Export",6,3.556,16.836,1.01,0.371
"H4","ARG","090412","Argentina","WLD"," World","Export",6,27.081,43.347,27.238,33.799
"H4","ARG","090422","Argentina","WLD"," World","Export",6,266.934,219.702,244.094,204.962
"H4","ARG","090520","Argentina","WLD"," World","Export",6,,0.434,,
"H4","ARG","090611","Argentina","WLD"," World","Export",6,0.04,0.969,,
"H4","ARG","090620","Argentina","WLD"," World","Export",6,24.926,1.54,4.868,5.393
"H4","ARG","090720","Argentina","WLD"," World","Export",6,30.11,19.71,20.735,
"H4","ARG","090811","Argentina","WLD"," World","Export",6,1.227,,0.466,
"H4","ARG","090812","Argentina","WLD"," World","Export",6,22.28,12.853,13.868,22.684
"H4","ARG","090921","Argentina","WLD"," World","Export",6,3413.334,4314.769,7231.575,6618.712
"H4","ARG","090922","Argentina","WLD"," World","Export",6,80.075,171.6,297.339,121.796
"H4","ARG","090931","Argentina","WLD"," World","Export",6,0.728,2.24,,1
"H4","ARG","090932","Argentina","WLD"," World","Export",6,9.089,4.982,2.388,2.493
"H4","ARG","090961","Argentina","WLD"," World","Export",6,13.753,22.067,1.736,3.003
"H4","ARG","091012","Argentina","WLD"," World","Export",6,4.015,3.18,2.675,
"H4","ARG","091020","Argentina","WLD"," World","Export",6,15.736,7.538,10.807,5.417
"H4","ARG","091030","Argentina","WLD"," World","Export",6,1.823,,,
"H4","ARG","091091","Argentina","WLD"," World","Export",6,38.847,88.27,96.171,59.609
"H4","ARG","091099","Argentina","WLD"," World","Export",6,174.425,248.955,415.956,307.667
"H4","ARG","100111","Argentina","WLD"," World","Export",6,2665.553,838.253,327.498,4.729
"H4","ARG","100119","Argentina","WLD"," World","Export",6,,,16732.5,29336.662
"H4","ARG","100191","Argentina","WLD"," World","Export",6,929.666,262.237,289.66,22.107
"H4","ARG","100199","Argentina","WLD"," World","Export",6,730661.271,602575.993,1015495.212,1838381.707
"H4","ARG","100210","Argentina","WLD"," World","Export",6,19.32,158.738,191.463,110.793
"H4","ARG","100290","Argentina","WLD"," World","Export",6,186.577,57.698,14.78,275.525
"H4","ARG","100310","Argentina","WLD"," World","Export",6,87.75,126.438,21.28,67.794
"H4","ARG","100390","Argentina","WLD"," World","Export",6,912208.431,627789.491,348760.481,599632.746
"H4","ARG","100410","Argentina","WLD"," World","Export",6,119.195,224.052,82.243,166.76
"H4","ARG","100490","Argentina","WLD"," World","Export",6,587.226,629.541,540.734,868.553
"H4","ARG","100510","Argentina","WLD"," World","Export",6,293773.562,191810.651,72777.161,55752.211
"H4","ARG","100590","Argentina","WLD"," World","Export",6,5555344.527,3333569.018,3057250.781,4130833.391
"H4","ARG","100610","Argentina","WLD"," World","Export",6,14032.119,35205.806,11726.077,9884.874
"H4","ARG","100620","Argentina","WLD"," World","Export",6,39424.634,21887.193,12743.25,26092.187
"H4","ARG","100630","Argentina","WLD"," World","Export",6,220151.558,191467.827,121667.197,156658.203
"H4","ARG","100640","Argentina","WLD"," World","Export",6,17379.181,27051.06,10052.857,19898.95
"H4","ARG","100710","Argentina","WLD"," World","Export",6,13336.822,10442.549,11341.595,11963.017
"H4","ARG","100790","Argentina","WLD"," World","Export",6,492335.761,182959.759,152469.385,78944.089
"H4","ARG","100829","Argentina","WLD"," World","Export",6,3237.907,437.392,757.008,2633.092
"H4","ARG","100830","Argentina","WLD"," World","Export",6,15447.698,9879.565,8074.016,13565.711
"H4","ARG","100850","Argentina","WLD"," World","Export",6,77.406,0.346,,
"H4","ARG","100860","Argentina","WLD"," World","Export",6,,,5.76,4
"H4","ARG","100890","Argentina","WLD"," World","Export",6,26.804,35.011,847.812,15.53
"H4","ARG","110100","Argentina","WLD"," World","Export",6,56489.748,130775.526,134596.985,178353.312
"H4","ARG","110220","Argentina","WLD"," World","Export",6,2347.632,1421.215,846.918,5227.117
"H4","ARG","110290","Argentina","WLD"," World","Export",6,48.289,,17.55,51.673
"H4","ARG","110311","Argentina","WLD"," World","Export",6,15226.224,16262.222,14754.848,11507.751
"H4","ARG","110313","Argentina","WLD"," World","Export",6,1174.034,2002.212,1913.574,929.884
"H4","ARG","110319","Argentina","WLD"," World","Export",6,,,3,
"H4","ARG","110320","Argentina","WLD"," World","Export",6,,11.998,4.047,
"H4","ARG","110412","Argentina","WLD"," World","Export",6,912.388,910.979,782.299,1118.688
"H4","ARG","110422","Argentina","WLD"," World","Export",6,,,,21.525
