Nomenclature,ReporterISO3,ProductCode,ProductDescription,ReporterName,PartnerISO3,PartnerName,TradeFlowName,TradeFlowCode,2013 in 1000 USD ,2014 in 1000 USD ,2015 in 1000 USD ,2016 in 1000 USD 
H4,EFTA,391732,"-- Other, Not reinforced or otherwi",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,116023.126,114554.034,93852.142,95519.192
H4,EFTA,391733,"-- Other, Not reinforced or otherwi",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,22230.074,24188.806,19845.298,23733.049
H4,EFTA,391739,-- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,90749.281,98818.509,90393.259,94049.305
H4,EFTA,391740,- Fittings,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,238657.549,250090.973,216111.947,221988.107
H4,EFTA,391810,- of polymers of Vinyl chloride,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,112347.008,120339.658,108800.92,125890.206
H4,EFTA,391890,- of Other plastics,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,25148.653,29907.643,26476.634,28359.836
H4,EFTA,391910,- in rolls of a width Not exceeding,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,109324.748,113225.148,99462.371,100688.316
H4,EFTA,391990,- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,183460.203,195006.596,165965.184,168861.155
H4,EFTA,392010,- of polymers of Ethylene,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,391926.567,410625.64,364738.752,381223.415
H4,EFTA,392020,- of polymers of propylene,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,172390.423,168887.904,139747.416,137023.22
H4,EFTA,392030,- of polymers of Styrene,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,43245.14,43441.318,36156.731,35033.567
H4,EFTA,392043,-- containing by weight Not less Th,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,21843.448,21106.094,16090.296,16968.114
H4,EFTA,392049,-- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,97076.524,97026.144,73663.517,69774.528
H4,EFTA,392051,-- of poly(methyl methacrylate),Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,27024.604,28815.19,24304.503,25693.22
H4,EFTA,392059,-- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,8690.28,5945.451,6345.818,6173.489
H4,EFTA,392061,-- of Polycarbonates,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,21273.339,24987.683,21301.817,19310.385
H4,EFTA,392062,-- of poly(Ethylene terephthalate),Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,135050.528,139526.328,116731.5,110930.218
H4,EFTA,392063,-- of Unsaturated polyesters,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,2146.109,2645.346,2045.556,1747.489
H4,EFTA,392069,-- of Other polyesters,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,54188.553,53039.564,46452.931,23282.484
H4,EFTA,392071,-- of regenerated Cellulose,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,2324.277,1796.66,1367.073,1246.002
H4,EFTA,392073,-- of Cellulose acetate,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,2199.747,2368.741,1542.108,983.888
H4,EFTA,392079,-- of Other Cellulose derivatives,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,4036.889,4842.862,4308.404,3237.234
H4,EFTA,392091,-- of poly(Vinyl butyral),Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,9287.368,9696.257,7460.867,7139.209
H4,EFTA,392092,-- of polyamides,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,27706.794,24512.163,18918.828,16218.214
H4,EFTA,392093,-- of Amino-resins,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,201.695,164.12,69.223,209.856
H4,EFTA,392094,-- of Phenolic resins,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,520.415,452.83,657.469,987.246
H4,EFTA,392099,-- of Other plastics,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,62888.382,65474.862,63521.371,63882.289
H4,EFTA,392111,-- of polymers of Styrene,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,136004.073,122019.471,104926.442,93977.303
H4,EFTA,392112,-- of polymers of Vinyl chloride,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,40402.684,29925.747,24409.262,23958.868
H4,EFTA,392113,-- of Polyurethanes,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,103151.686,106952.68,79508.387,80272.462
H4,EFTA,392114,-- of regenerated Cellulose,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,2188.559,1989.959,1845.036,1818.807
H4,EFTA,392119,-- of Other plastics,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,57872.63,57262.65,52357.093,54881.3
H4,EFTA,392190,- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,307385.784,305970.32,274980.612,293030.451
H4,EFTA,392210,"- Baths, shower-Baths, sinks and wa",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,47177.189,51784.957,46597.992,51028.245
H4,EFTA,392220,- Lavatory seats and covers,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,29650.196,31993.788,24775.064,25355.618
H4,EFTA,392290,- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,82297.776,86381.376,80538.933,86249.063
H4,EFTA,392310,"- boxes, cases, crates and similar",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,268688.426,289451.477,245650.533,243514.567
H4,EFTA,392321,-- of polymers of Ethylene,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,275054.267,277488.493,247922.294,257179.948
H4,EFTA,392329,-- of Other plastics,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,109138.307,105872.336,91840.594,99081.935
H4,EFTA,392330,"- Carboys, bottles, flasks and simi",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,272581.104,281875.951,246634.078,256995.733
H4,EFTA,392340,"- Spools, cops, bobbins and similar",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,8862.185,11170.198,8245.846,7020.719
H4,EFTA,392350,"- Stoppers, lids, caps and Other cl",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,188094.604,189799.199,162099.51,161841.51
H4,EFTA,392390,- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,194310.379,190758.361,178397.05,178185.76
H4,EFTA,392410,- Tableware and kitchenware,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,182999.357,189592.504,169481.922,172543.434
