Nomenclature,ReporterISO3,ProductCode,ProductDescription,ReporterName,PartnerISO3,PartnerName,TradeFlowName,TradeFlowCode,2013 in 1000 USD ,2014 in 1000 USD ,2015 in 1000 USD ,2016 in 1000 USD 
H4,ARG,60240,"- Roses, grafted or Not",Argentina,WLD, World,Export,6,17,16.32,,
H4,ARG,60290,- Other,Argentina,WLD, World,Export,6,2110.467,2904.908,1928.246,1813.727
H4,ARG,60490,- Other,Argentina,WLD, World,Export,6,129.115,65.667,40.238,57.702
H4,ARG,70110,- Seed,Argentina,WLD, World,Export,6,2301.878,1291.845,79.81,515.53
H4,ARG,70190,- Other,Argentina,WLD, World,Export,6,9026.044,2624.044,5291.762,18687.249
H4,ARG,70200,"Tomatoes, fresh or chilled.",Argentina,WLD, World,Export,6,1514.075,1465.066,1571.531,1337.802
H4,ARG,70310,- Onions and shallots,Argentina,WLD, World,Export,6,89542.446,33783.47,19012.043,19423.706
H4,ARG,70320,- Garlic,Argentina,WLD, World,Export,6,136373.711,107623.862,83567.656,161679.859
H4,ARG,70390,- Leeks and Other alliaceous vegeta,Argentina,WLD, World,Export,6,93.676,71.248,,
H4,ARG,70410,- Cauliflowers and headed broccoli,Argentina,WLD, World,Export,6,,0.486,0.237,0.63
H4,ARG,70490,- Other,Argentina,WLD, World,Export,6,40.028,18.03,16.398,36.83
H4,ARG,70511,-- Cabbage lettuce (head lettuce),Argentina,WLD, World,Export,6,23.12,50.475,128.771,92.801
H4,ARG,70519,-- Other,Argentina,WLD, World,Export,6,,,9.77,30.442
H4,ARG,70521,-- Witloof chicory (Cichorium intyb,Argentina,WLD, World,Export,6,200.329,91.262,51.898,63.455
H4,ARG,70529,-- Other,Argentina,WLD, World,Export,6,19.819,7.462,6.605,14.239
H4,ARG,70610,- Carrots and turnips,Argentina,WLD, World,Export,6,264.366,121.225,160.242,103.48
H4,ARG,70690,- Other,Argentina,WLD, World,Export,6,1.795,1.86,2.73,5.045
H4,ARG,70810,- Peas (Pisum sativum),Argentina,WLD, World,Export,6,,,1.544,1.844
H4,ARG,70820,"- Beans (Vigna spp., Phaseolus spp.",Argentina,WLD, World,Export,6,1.66,,1.104,
H4,ARG,70890,- Other leguminous vegetables,Argentina,WLD, World,Export,6,,,,0.448
H4,ARG,70920,- Asparagus,Argentina,WLD, World,Export,6,96.365,109.398,114.212,317.657
H4,ARG,70930,- Aubergines (egg-plants),Argentina,WLD, World,Export,6,2.8,,,15.859
H4,ARG,70940,- Celery Other than celeriac,Argentina,WLD, World,Export,6,,1.65,0.305,3.055
H4,ARG,70951,-- Mushrooms of the genus Agaricus,Argentina,WLD, World,Export,6,154.159,98.952,137.39,139.613
H4,ARG,70959,-- Other,Argentina,WLD, World,Export,6,,13.066,,3.864
H4,ARG,70960,- Fruits of the genus Capsicum or o,Argentina,WLD, World,Export,6,7.816,25.894,54.515,238.654
H4,ARG,70970,"- Spinach, New Zealand Spinach and",Argentina,WLD, World,Export,6,,,0.3,0.24
H4,ARG,70991,-- Globe artichokes,Argentina,WLD, World,Export,6,,3.736,4.212,0.16
H4,ARG,70992,-- Olives,Argentina,WLD, World,Export,6,180,,,
H4,ARG,70993,"-- Pumpkins, squash and gourds (Cuc",Argentina,WLD, World,Export,6,5242.334,3967.472,3466.402,3491.643
H4,ARG,70999,-- Other,Argentina,WLD, World,Export,6,1227.831,1316.093,1757.739,1361.244
H4,ARG,71021,-- Peas (Pisum sativum),Argentina,WLD, World,Export,6,189.921,478.563,600.811,279.191
H4,ARG,71029,-- Other,Argentina,WLD, World,Export,6,22.834,29.098,37.215,2.705
H4,ARG,71030,"- Spinach, New Zealand Spinach and",Argentina,WLD, World,Export,6,26.846,38.541,35.649,38.955
H4,ARG,71040,- Sweet corn,Argentina,WLD, World,Export,6,48.793,69.913,117.271,155.843
H4,ARG,71080,- Other vegetables,Argentina,WLD, World,Export,6,245.501,79.82,84.575,142.18
H4,ARG,71090,- Mixtures of vegetables,Argentina,WLD, World,Export,6,157.143,180.593,438.75,349.507
H4,ARG,71120,- Olives,Argentina,WLD, World,Export,6,3263.565,618.49,4062.875,3855.836
H4,ARG,71220,- Onions,Argentina,WLD, World,Export,6,852.615,100.723,170.917,222.322
H4,ARG,71231,-- Mushrooms of the genus Agaricus,Argentina,WLD, World,Export,6,,,,15.62
